,dim_1,dim_2,word,prediction,epoch
0,-0.036412727,0.009324323,,negative,0
1,0.04297637,0.018003073,[UNK],negative,0
2,-0.036355518,-0.031349935,the,negative,0
3,-0.00382483,-0.022809196,a,negative,0
4,-0.017992962,-0.026655901,and,negative,0
5,0.0038852803,0.016429152,of,negative,0
6,0.046596553,-0.04219506,to,negative,0
7,0.038029764,-0.006080471,is,negative,0
8,-0.016659103,0.024304215,in,negative,0
9,-0.042536713,-0.043272473,it,negative,0
10,0.028880667,0.014678422,i,negative,0
11,-0.0148439035,0.03159293,this,negative,0
12,-0.030822897,0.035099182,that,negative,0
13,-0.012216665,-0.035036195,br,negative,0
14,0.033913184,0.022560466,was,negative,0
15,0.0027201548,-0.03432715,as,negative,0
16,-0.04869237,-0.0015056953,for,negative,0
17,-0.040335942,0.0416503,with,negative,0
18,-0.025853073,0.04556633,movie,negative,0
19,0.015648331,0.044571783,but,negative,0
20,-0.009751428,-0.04017303,film,negative,0
21,-0.003706254,-0.020007301,on,negative,0
22,-0.021087801,0.028418008,not,negative,0
23,0.033220056,0.030121576,you,negative,0
24,-0.036744487,0.041602496,are,negative,0
25,-0.041466344,-0.02298901,his,negative,0
26,-0.03612859,-0.03834803,have,negative,0
27,0.030238543,0.036250684,be,negative,0
28,0.0044970512,0.0497589,he,negative,0
29,-0.020648336,0.028838608,one,negative,0
30,0.014558647,-0.028779507,its,negative,0
31,0.00068537146,0.043323625,at,negative,0
32,0.009413529,0.04740614,all,negative,0
33,0.013008859,-0.037107576,by,negative,0
34,0.040318932,0.0011409521,an,negative,0
35,0.0014084801,-0.0181203,they,negative,0
36,0.00799495,0.04795677,from,negative,0
37,0.021860812,0.046378735,who,negative,0
38,-0.00772091,-0.013098907,so,negative,0
39,0.014697436,0.0036489144,like,negative,0
40,0.046871673,0.04761262,or,negative,0
41,-0.005110003,0.026374888,just,negative,0
42,-0.022809053,0.010033406,her,negative,0
43,-0.038843464,-0.025393678,about,negative,0
44,0.04159415,0.02264383,if,negative,0
45,0.012704972,-0.024885286,has,negative,0
46,0.017180536,-0.025374843,out,negative,0
47,-0.040197086,-0.01413516,some,negative,0
48,-0.001174055,-0.03155563,there,negative,0
49,0.038597252,-0.019153977,what,negative,0
50,-0.04049208,0.030468252,good,negative,0
51,0.015671019,-0.006760478,when,negative,0
52,0.03888542,0.04274522,very,negative,0
53,0.017070163,-0.003461741,more,negative,0
54,0.021678414,0.038769018,my,negative,0
55,0.003704451,-0.008659959,even,negative,0
56,0.038076345,0.047876958,no,negative,0
57,-0.0044898763,-0.023749232,would,negative,0
58,-0.016854607,0.024900224,up,negative,0
59,0.047719207,0.013657164,she,negative,0
60,0.033841502,-0.039861012,time,negative,0
61,-0.0019506589,0.031882834,which,negative,0
62,0.004460454,0.017212871,only,negative,0
63,-0.043574,0.018774595,really,negative,0
64,-0.039137315,0.02379017,see,negative,0
65,-0.03861804,-0.04317937,their,negative,0
66,-0.015586294,0.019608188,were,negative,0
67,0.03756622,-0.029190695,had,negative,0
68,0.04059604,-0.020334005,story,negative,0
69,-0.008815311,-0.027184129,can,negative,0
70,-0.01597352,0.0044519193,me,negative,0
71,0.032260668,0.048209537,than,negative,0
72,0.014889624,4.529953e-06,much,negative,0
73,0.035812322,-0.0027092323,we,negative,0
74,-0.039052594,0.020817805,well,negative,0
75,0.020956028,-0.0219072,been,negative,0
76,0.0033835173,0.030668471,get,negative,0
77,-0.016974568,0.022105303,will,negative,0
78,0.045761142,-0.009323001,also,negative,0
79,0.005547382,0.017568637,into,negative,0
80,0.011806823,0.018678214,great,negative,0
81,-0.027550602,-0.01954708,bad,negative,0
82,-0.041776408,-0.027251972,do,negative,0
83,0.028195094,-0.03458909,because,negative,0
84,0.005732991,-0.03955828,other,negative,0
85,-0.017110907,0.041109297,people,negative,0
86,0.028946567,-0.047558095,how,negative,0
87,0.047926847,0.027897965,most,negative,0
88,0.007585287,-0.0027080178,first,negative,0
89,-0.003615331,0.0035979524,dont,negative,0
90,-0.017503094,-0.033945907,him,negative,0
91,-0.046533287,0.022557568,then,negative,0
92,0.04688317,-0.012937464,movies,negative,0
93,-0.02082082,-0.00515927,made,negative,0
94,-0.022644877,0.02894983,films,negative,0
95,-0.0042080395,-0.014937878,make,negative,0
96,-0.03644072,0.0071900114,them,negative,0
97,-0.01024238,0.024141375,could,negative,0
98,-0.004863333,0.049760643,any,negative,0
99,-0.04778117,0.032794725,way,negative,0
100,0.006222464,0.01145662,too,negative,0
101,-0.017157208,-0.040306114,characters,negative,0
102,-0.03771331,-0.041571222,after,negative,0
103,-0.042912137,-0.044228043,think,negative,0
104,-0.034548678,-0.011929154,watch,negative,0
105,-0.046118464,0.04137483,many,negative,0
106,-0.039972506,-0.01574,seen,negative,0
107,0.02266414,0.01226728,two,negative,0
108,0.042952705,0.030997146,being,negative,0
109,0.044434402,-0.023460854,character,negative,0
110,0.02655704,0.009426691,never,negative,0
111,0.027134743,-0.0054973587,love,negative,0
112,-0.04693928,0.011957087,acting,negative,0
113,0.01540089,0.030417215,where,negative,0
