titles,summaries,terms,word_count,unique_word_count
Neural ODEs for Image Segmentation with Level Sets,"We propose a novel approach for image segmentation that combines Neural
Ordinary Differential Equations (NODEs) and the Level Set method. Our approach
parametrizes the evolution of an initial contour with a NODE that implicitly
learns from data a speed function describing the evolution. In addition, for
cases where an initial contour is not available and to alleviate the need for
careful choice or design of contour embedding functions, we propose a
NODE-based method that evolves an image embedding into a dense per-pixel
semantic label space. We evaluate our methods on kidney segmentation (KiTS19)
and on salient object detection (PASCAL-S, ECSSD and HKU-IS). In addition to
improving initial contours provided by deep learning models while using a
fraction of their number of parameters, our approach achieves F scores that are
higher than several state-of-the-art deep learning algorithms.","['cs.CV', 'cs.LG', 'eess.IV']",143,99
A Graph-CNN for 3D Point Cloud Classification,"Graph convolutional neural networks (Graph-CNNs) extend traditional CNNs to
handle data that is supported on a graph. Major challenges when working with
data on graphs are that the support set (the vertices of the graph) do not
typically have a natural ordering, and in general, the topology of the graph is
not regular (i.e., vertices do not all have the same number of neighbors).
Thus, Graph-CNNs have huge potential to deal with 3D point cloud data which has
been obtained from sampling a manifold. In this paper, we develop a Graph-CNN
for classifying 3D point cloud data, called PointGCN. The architecture combines
localized graph convolutions with two types of graph downsampling operations
(also known as pooling). By the effective exploration of the point cloud local
structure using the Graph-CNN, the proposed architecture achieves competitive
performance on the 3D object classification benchmark ModelNet, and our
architecture is more stable than competing schemes.","['cs.CV', 'cs.LG', 'stat.ML']",156,102
Filter Design and Performance Evaluation for Fingerprint Image Segmentation,"Fingerprint recognition plays an important role in many commercial
applications and is used by millions of people every day, e.g. for unlocking
mobile phones. Fingerprint image segmentation is typically the first processing
step of most fingerprint algorithms and it divides an image into foreground,
the region of interest, and background. Two types of error can occur during
this step which both have a negative impact on the recognition performance:
'true' foreground can be labeled as background and features like minutiae can
be lost, or conversely 'true' background can be misclassified as foreground and
spurious features can be introduced. The contribution of this paper is
threefold: firstly, we propose a novel factorized directional bandpass (FDB)
segmentation method for texture extraction based on the directional Hilbert
transform of a Butterworth bandpass (DHBB) filter interwoven with
soft-thresholding. Secondly, we provide a manually marked ground truth
segmentation for 10560 images as an evaluation benchmark. Thirdly, we conduct a
systematic performance comparison between the FDB method and four of the most
often cited fingerprint segmentation algorithms showing that the FDB
segmentation method clearly outperforms these four widely used methods. The
benchmark and the implementation of the FDB method are made publicly available.",['cs.CV'],199,125
Boosting Few-Shot Classification with View-Learnable Contrastive Learning,"The goal of few-shot classification is to classify new categories with few
labeled examples within each class. Nowadays, the excellent performance in
handling few-shot classification problems is shown by metric-based
meta-learning methods. However, it is very hard for previous methods to
discriminate the fine-grained sub-categories in the embedding space without
fine-grained labels. This may lead to unsatisfactory generalization to
fine-grained subcategories, and thus affects model interpretation. To tackle
this problem, we introduce the contrastive loss into few-shot classification
for learning latent fine-grained structure in the embedding space. Furthermore,
to overcome the drawbacks of random image transformation used in current
contrastive learning in producing noisy and inaccurate image pairs (i.e.,
views), we develop a learning-to-learn algorithm to automatically generate
different views of the same image. Extensive experiments on standard few-shot
learning benchmarks demonstrate the superiority of our method.",['cs.CV'],151,99
Optimizing Quantum Variational Circuits with Deep Reinforcement Learning,"Quantum Machine Learning (QML) is considered to be one of the most promising
applications of near term quantum devices. However, the optimization of quantum
machine learning models presents numerous challenges arising from the
imperfections of hardware and the fundamental obstacles in navigating an
exponentially scaling Hilbert space. In this work, we evaluate the potential of
contemporary methods in deep reinforcement learning to augment gradient based
optimization routines in quantum variational circuits. We find that
reinforcement learning augmented optimizers consistently outperform gradient
descent in noisy environments. All code and pretrained weights are available to
replicate the results or deploy the models at
https://github.com/lockwo/rl_qvc_opt.","['cs.LG', 'quant-ph']",106,82
Constrained Policy Optimization,"For many applications of reinforcement learning it can be more convenient to
specify both a reward function and constraints, rather than trying to design
behavior through the reward function. For example, systems that physically
interact with or around humans should satisfy safety constraints. Recent
advances in policy search algorithms (Mnih et al., 2016, Schulman et al., 2015,
Lillicrap et al., 2016, Levine et al., 2016) have enabled new capabilities in
high-dimensional control, but do not consider the constrained setting.
  We propose Constrained Policy Optimization (CPO), the first general-purpose
policy search algorithm for constrained reinforcement learning with guarantees
for near-constraint satisfaction at each iteration. Our method allows us to
train neural network policies for high-dimensional control while making
guarantees about policy behavior all throughout training. Our guarantees are
based on a new theoretical result, which is of independent interest: we prove a
bound relating the expected returns of two policies to an average divergence
between them. We demonstrate the effectiveness of our approach on simulated
robot locomotion tasks where the agent must satisfy constraints motivated by
safety.",['cs.LG'],180,131
Multi-modal Visual Tracking: Review and Experimental Comparison,"Visual object tracking, as a fundamental task in computer vision, has drawn
much attention in recent years. To extend trackers to a wider range of
applications, researchers have introduced information from multiple modalities
to handle specific scenes, which is a promising research prospect with emerging
methods and benchmarks. To provide a thorough review of multi-modal track-ing,
we summarize the multi-modal tracking algorithms, especially visible-depth
(RGB-D) tracking and visible-thermal (RGB-T) tracking in a unified taxonomy
from different aspects. Second, we provide a detailed description of the
related benchmarks and challenges. Furthermore, we conduct extensive
experiments to analyze the effectiveness of trackers on five datasets: PTB,
VOT19-RGBD, GTOT, RGBT234, and VOT19-RGBT. Finally, we discuss various future
directions from different perspectives, including model design and dataset
construction for further research.",['cs.CV'],136,99
Boost Image Captioning with Knowledge Reasoning,"Automatically generating a human-like description for a given image is a
potential research in artificial intelligence, which has attracted a great of
attention recently. Most of the existing attention methods explore the mapping
relationships between words in sentence and regions in image, such
unpredictable matching manner sometimes causes inharmonious alignments that may
reduce the quality of generated captions. In this paper, we make our efforts to
reason about more accurate and meaningful captions. We first propose word
attention to improve the correctness of visual attention when generating
sequential descriptions word-by-word. The special word attention emphasizes on
word importance when focusing on different regions of the input image, and
makes full use of the internal annotation knowledge to assist the calculation
of visual attention. Then, in order to reveal those incomprehensible intentions
that cannot be expressed straightforwardly by machines, we introduce a new
strategy to inject external knowledge extracted from knowledge graph into the
encoder-decoder framework to facilitate meaningful captioning. Finally, we
validate our model on two freely available captioning benchmarks: Microsoft
COCO dataset and Flickr30k dataset. The results demonstrate that our approach
achieves state-of-the-art performance and outperforms many of the existing
approaches.",['cs.CV'],199,134
A Novel Visual Fault Detection and Classification System for Semiconductor Manufacturing Using Stacked Hybrid Convolutional Neural Networks,"Automated visual inspection in the semiconductor industry aims to detect and
classify manufacturing defects utilizing modern image processing techniques.
While an earliest possible detection of defect patterns allows quality control
and automation of manufacturing chains, manufacturers benefit from an increased
yield and reduced manufacturing costs. Since classical image processing systems
are limited in their ability to detect novel defect patterns, and machine
learning approaches often involve a tremendous amount of computational effort,
this contribution introduces a novel deep neural network based hybrid approach.
Unlike classical deep neural networks, a multi-stage system allows the
detection and classification of the finest structures in pixel size within
high-resolution imagery. Consisting of stacked hybrid convolutional neural
networks (SH-CNN) and inspired by current approaches of visual attention, the
realized system draws the focus over the level of detail from its structures to
more task-relevant areas of interest. The results of our test environment show
that the SH-CNN outperforms current approaches of learning-based automated
visual inspection, whereas a distinction depending on the level of detail
enables the elimination of defect patterns in earlier stages of the
manufacturing process.","['cs.LG', 'cs.CV', 'eess.IV', 'stat.ML']",188,119
A self-adapting super-resolution structures framework for automatic design of GAN,"With the development of deep learning, the single super-resolution image
reconstruction network models are becoming more and more complex. Small changes
in hyperparameters of the models have a greater impact on model performance. In
the existing works, experts have gradually explored a set of optimal model
parameters based on empirical values or performing brute-force search. In this
paper, we introduce a new super-resolution image reconstruction generative
adversarial network framework, and a Bayesian optimization method used to
optimizing the hyperparameters of the generator and discriminator. The
generator is made by self-calibrated convolution, and discriminator is made by
convolution lays. We have defined the hyperparameters such as the number of
network layers and the number of neurons. Our method adopts Bayesian
optimization as a optimization policy of GAN in our model. Not only can find
the optimal hyperparameter solution automatically, but also can construct a
super-resolution image reconstruction network, reducing the manual workload.
Experiments show that Bayesian optimization can search the optimal solution
earlier than the other two optimization algorithms.","['cs.CV', 'cs.LG', 'eess.IV']",173,103
